下午 05:21:27-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$80M], Rec []Raw []
下午 05:21:27-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [80 46 00 42 48], Rec []wT = 313
下午 05:21:28-> DCON Error_GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$80M], Rec []Raw []
下午 05:21:28-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [80 46 00 42 48], Rec []wT = 313
下午 05:21:28-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$00M], Rec []Raw []
下午 05:21:29-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [00 46 00 43 A0], Rec []wT = 312
下午 05:21:29-> DCON Error_GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$00M], Rec []Raw []
下午 05:21:29-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [00 46 00 43 A0], Rec []wT = 312
下午 05:21:30-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$81M], Rec []Raw []
下午 05:21:30-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [81 46 00 13 88], Rec []wT = 313
下午 05:21:30-> DCON Error_GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$81M], Rec []Raw []
下午 05:21:31-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [81 46 00 13 88], Rec []wT = 312
下午 05:21:31-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$01M], Rec []Raw []
下午 05:21:31-> Modbus OK_MODULE_NAME, Ret [0], , CmdType [100], Cmd [01 46 00 12 60], Rec [01 46 00 00 70 18 51 CF 41 ]
下午 05:21:32-> Modbus OK_MODULE_FIRMWARE, Ret [0], , CmdType [100], Cmd [01 46 20 13 B8], Rec [01 46 20 B4 06 00 C0 43 ]
下午 05:21:32-> Modbus OK_COMMUNICATE_PARAMETER, Ret [0], , CmdType [100], Cmd [01 46 05 00 E3 5D], Rec [01 46 05 00 0A 00 00 00 01 00 00 24 43 ]
下午 05:21:32-> DCON Error_GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$01M], Rec []Raw []
下午 05:21:32-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [01 46 00 12 60], Rec []wT = 312
下午 05:21:34-> Modbus OK_MODULE_ADDRESS, Ret [0], , CmdType [100], Cmd [01 03 01 E4 00 01 C5 C1], Rec [01 03 02 00 01 79 84 ]
下午 05:21:34-> Modbus OK_MODBUS_MISC, Ret [0], , CmdType [10], Cmd [01 46 29 D3 BE], Rec [01 46 29 00 FF 9D ]
下午 05:21:34-> Modbus OK_MODBUS_DATAFORMAT, Ret [0], , CmdType [10], Cmd [01 01 01 0C 00 01 3C 35], Rec [01 01 01 01 90 48 ]
下午 05:21:34-> Modbus OK_MODULE_TYPECODE, Ret [0], , CmdType [10], Cmd [01 46 07 00 00 BD 49], Rec [01 46 07 0F A2 39 ]
下午 05:21:34-> Modbus OK_RESPONSE_DELAY_TIME, Ret [0], , CmdType [10], Cmd [01 46 35 D2 77], Rec [01 46 35 00 F7 5D ]
下午 05:21:34-> Modbus OK_CHANNEL_ENABLE_STATUS, Ret [0], , CmdType [10], Cmd [01 46 25 D3 BB], Rec [01 46 25 FF FF 1C F3 ]
