下午 03:44:39-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$80M], Rec []Raw []
下午 03:44:40-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [80 46 00 42 48], Rec []
下午 03:44:40-> DCON Error_GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$80M], Rec []Raw []
下午 03:44:40-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [80 46 00 42 48], Rec []
下午 03:44:41-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$00M], Rec []Raw []
下午 03:44:41-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [00 46 00 43 A0], Rec []
下午 03:44:41-> DCON Error_GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$00M], Rec []Raw []
下午 03:44:42-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [00 46 00 43 A0], Rec []
下午 03:44:42-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$81M], Rec []Raw []
下午 03:44:42-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [81 46 00 13 88], Rec []
下午 03:44:43-> DCON Error_GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$81M], Rec []Raw []
下午 03:44:43-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [81 46 00 13 88], Rec []
下午 03:44:43-> DCON Error_GET_MODULE_NAME,B[115200],F[N,8,1], C[Disable], Cmd [$01M], Rec []Raw []
下午 03:44:43-> Modbus OK_MODULE_NAME, Ret [0], , CmdType [100], Cmd [01 46 00 12 60], Rec [01 46 00 00 70 19 22 8F 34 ]
下午 03:44:44-> Modbus OK_MODULE_FIRMWARE, Ret [0], , CmdType [100], Cmd [01 46 20 13 B8], Rec [01 46 20 B3 07 00 70 12 ]
下午 03:44:44-> Modbus OK_COMMUNICATE_PARAMETER, Ret [0], , CmdType [100], Cmd [01 46 05 00 E3 5D], Rec [01 46 05 00 0A 00 00 00 01 00 00 24 43 ]
下午 03:44:44-> DCON Error_GET_MODULE_NAME,B[9600],F[N,8,1], C[Disable], Cmd [$01M], Rec []Raw []
下午 03:44:45-> Modbus Timeout_MODULE_NAME, Ret [15], , CmdType [100], Cmd [01 46 00 12 60], Rec []
下午 03:44:47-> Modbus OK_MODULE_ADDRESS, Ret [0], , CmdType [100], Cmd [01 03 01 E4 00 01 C5 C1], Rec [01 03 02 00 01 79 84 ]
下午 03:44:47-> Modbus OK_MODBUS_MISC, Ret [0], , CmdType [10], Cmd [01 46 29 D3 BE], Rec [01 46 29 00 FF 9D ]
下午 03:44:47-> Modbus OK_MODBUS_DATAFORMAT, Ret [0], , CmdType [10], Cmd [01 01 01 0C 00 01 3C 35], Rec [01 01 01 00 51 88 ]
下午 03:44:47-> Modbus OK_RESPONSE_DELAY_TIME, Ret [0], , CmdType [10], Cmd [01 46 35 D2 77], Rec [01 46 35 09 37 5B ]
下午 03:44:47-> Modbus OK_CHANNEL_ENABLE_STATUS, Ret [0], , CmdType [10], Cmd [01 46 25 D3 BB], Rec [01 46 25 FF BA DD ]
下午 03:44:47-> Modbus OK_CH0_INPUT_RANGE, Ret [0], , CmdType [10], Cmd [01 46 07 00 00 BD 49], Rec [01 46 07 0E 63 F9 ]
下午 03:44:47-> Modbus OK_CH1_INPUT_RANGE, Ret [0], , CmdType [10], Cmd [01 46 07 00 01 7C 89], Rec [01 46 07 0E 63 F9 ]
下午 03:44:47-> Modbus OK_CH2_INPUT_RANGE, Ret [0], , CmdType [10], Cmd [01 46 07 00 02 3C 88], Rec [01 46 07 0E 63 F9 ]
下午 03:44:47-> Modbus OK_CH3_INPUT_RANGE, Ret [0], , CmdType [10], Cmd [01 46 07 00 03 FD 48], Rec [01 46 07 0E 63 F9 ]
